1601	B	ISLA MARTIN GARCIA 
1602	B	FLORIDA 
1603	B	VILLA MARTELLI 
1605	B	CARAPACHAY 
1607	B	VILLA ADELINA 
1609	B	BOULOGNE 
1611	B	DON TORCUATO 
1612	B	INGENIERO ADOLFO SOURDEAUX 
1613	B	LOS POLVORINES 
1614	B	VILLA DE MAYO 
1615	B	GRAND BOURG 
1617	B	EL TALAR 
1618	B	RICARDO ROJAS 
1619	B	GARIN 
1621	B	BENAVIDEZ 
1623	B	BARRIO GARIN NORTE 
1625	B	ARROYO CANELON 
1627	B	MATHEU 
1629	B	ALMIRANTE IRIZAR 
1631	B	VILLA ROSA 
1633	B	EMPALME 
1635	B	KILOMETRO 45 
1636	B	LA LUCILA 
1638	B	VICENTE LOPEZ 
1640	B	ACASSUSO 
1642	B	SAN ISIDRO 
1643	B	BECCAR 
1644	B	VICTORIA 
1646	B	SAN FERNANDO 
1647	B	ZONA DELTA SAN FERNANDO 
1648	B	RINCON DE MILBERG 
1649	B	ZONA DELTA TIGRE 
1650	B	GENERAL SAN MARTIN 
1651	B	SAN ANDRES 
1653	B	VILLA BALLESTER 
1655	B	JOSE LEON SUAREZ 
1657	B	11 DE SEPTIEMBRE 
1659	B	CAMPO DE MAYO 
1661	B	BELLA VISTA 
1663	B	MUÑIZ 
1664	B	TRUJUI 
1665	B	JOSE CLEMENTE PAZ 
1667	B	MANUEL ALBERTI 
1669	B	DEL VISO 
1670	B	NORDELTA 
1672	B	VILLA LYNCH 
1674	B	VILLA RAFFO 
1676	B	SANTOS LUGARES 
1678	B	CASEROS 
1682	B	MARTIN CORONADO 
1684	B	CIUDAD JARDIN DEL PALOMAR 
1686	B	HURLINGHAM 
1688	B	VILLA SANTOS TESEI 
1702	B	CIUDADELA 
1704	B	RAMOS MEJIA 
1706	B	HAEDO 
1708	B	MORON 
1712	B	CASTELAR 
1713	B	BARRIO PARQUE LELOIR 
1714	B	ITUZAINGO 
1716	B	LIBERTAD 
1718	B	SAN ANTONIO DE PADUA 
1722	B	MERLO 
1723	B	MARIANO ACOSTA 
1727	B	B LOS AROMOS SAN PATRICIO 
1731	B	VILLARS 
1733	B	PLOMER 
1735	B	EL DURAZNO 
1737	B	KILOMETRO 77 
1739	B	GENERAL HORNOS 
1741	B	ENRIQUE FYNN 
1742	B	PASO DEL REY 
1744	B	CUARTEL V 
1746	B	FRANCISCO ALVAREZ 
1748	B	GENERAL RODRIGUEZ 
1752	B	LOMAS DEL MIRADOR 
1754	B	SAN JUSTO 
1755	B	RAFAEL CASTILLO 
1757	B	GREGORIO DE LAFERRERE 
1759	B	GONZALEZ CATAN 
1761	B	20 DE JUNIO 
1763	B	VIRREY DEL PINO 
1765	B	ISIDRO CASANOVA 
1766	B	TABLADA 
1768	B	CIUDAD MADERO 
1770	B	ALDO BONZI 
1771	B	MERCADO CENTRAL 
1774	B	LA SALADA 
1776	B	9 DE ABRIL 
1778	B	CIUDAD EVITA 
1802	B	AEROPUERTO EZEIZA 
1804	B	CANNING 
1806	B	TRISTAN SUAREZ 
1808	B	ALEJANDRO PETION 
1812	B	CARLOS SPEGAZZINI 
1814	B	BARRIO 1 DE MAYO 
1815	B	ESCUELA AGRICOLA DON BOSCO 
1816	B	COLONIA SANTA ROSA 
1822	B	VALENTIN ALSINA 
1824	B	GERLI 
1825	B	MONTE CHINGOLO 
1826	B	REMEDIOS DE ESCALADA 
1828	B	BANFIELD 
1832	B	LOMAS DE ZAMORA 
1834	B	TEMPERLEY 
1836	B	LLAVALLOL 
1838	B	LUIS GUILLON 
1842	B	EL JAGUEL 
1846	B	ADROGUE 
1847	B	RAFAEL CALZADA 
1849	B	CLAYPOLE 
1852	B	BURZACO 
1854	B	LONGCHAMPS 
1856	B	GLEW 
1858	B	VILLA NUMANCIA 
1862	B	AMERICA UNIDA 
1864	B	ALEJANDRO KORN 
1865	B	EL PAMPERO 
1870	B	AVELLANEDA 
1871	B	DOCK SUD 
1872	B	SARANDI 
1874	B	VILLA DOMINICO 
1875	B	WILDE 
1876	B	BERNAL ESTE 
1878	B	QUILMES 
1879	B	QUILMES OESTE 
1881	B	SAN FRANCISCO SOLANO 
1882	B	EZPELETA ESTE 
1884	B	BERAZATEGUI 
1885	B	GUILLERMO E HUDSON 
1886	B	RANELAGH 
1888	B	FLORENCIO VARELA 
1889	B	BOSQUES 
1890	B	JUAN MARIA GUTIERREZ 
1891	B	INGENIERO ALLAN 
